Run	Year	Species	pSpp	Area
1	35	 BbPe	0.078190	30532.750000
1	35	 BbE	0.016731	6533.500000
1	35	 BbPg	0.001437	561.250000
1	35	 BbS	0.186842	72960.750000
1	35	 Pe	0.004392	1715.000000
1	35	 PeBb	0.056262	21970.000000
1	35	 PeE	0.006433	2512.000000
1	35	 PePg	0.002969	1159.500000
1	35	 PeS	0.001205	470.500000
1	35	 E	0.138184	53960.250000
1	35	 EBb	0.032045	12513.250000
1	35	 EPe	0.019134	7471.750000
1	35	 EPg	0.032614	12735.500000
1	35	 ES	0.044583	17409.250000
1	35	 EMe	0.006971	2722.000000
1	35	 EC	0.000066	25.750000
1	35	 Pg	0.030191	11789.500000
1	35	 PgBb	0.006487	2533.000000
1	35	 PgPe	0.008773	3425.750000
1	35	 PgE	0.186103	72672.250000
1	35	 PgMe	0.000104	40.750000
1	35	 PgS	0.000021	8.250000
1	35	 S	0.018939	7395.500000
1	35	 SBb	0.023654	9236.750000
1	35	 SPe	0.010013	3910.000000
1	35	 SE	0.004353	1699.750000
1	35	 SPg	0.000164	64.000000
1	35	 SMe	0.000077	30.250000
1	35	 SC	0.000050	19.500000
1	35	 Me	0.000133	52.000000
1	35	 MeE	0.001499	585.500000
1	35	 MePg	0.000064	25.000000
1	35	 C	0.000012	4.500000
1	35	 CBb	0.000039	15.250000
1	35	 CE	0.000050	19.500000
1	35	 CS	0.000058	22.500000
1	40	 Bb	0.081159	31692.000000
1	40	 BbPe	0.078190	30532.750000
1	40	 BbE	0.016731	6533.500000
1	40	 BbPg	0.001437	561.250000
1	40	 BbS	0.186842	72960.750000
1	40	 Pe	0.004392	1715.000000
1	40	 PeBb	0.056262	21970.000000
1	40	 PeE	0.006433	2512.000000
1	40	 PePg	0.002969	1159.500000
1	40	 PeS	0.001205	470.500000
1	40	 E	0.138184	53960.250000
1	40	 EBb	0.032045	12513.250000
1	40	 EPe	0.019134	7471.750000
1	40	 EPg	0.032614	12735.500000
1	40	 ES	0.044583	17409.250000
1	40	 EMe	0.006971	2722.000000
1	40	 EC	0.000066	25.750000
1	40	 Pg	0.030191	11789.500000
1	40	 PgBb	0.006487	2533.000000
1	40	 PgPe	0.008773	3425.750000
1	40	 PgE	0.186103	72672.250000
1	40	 PgMe	0.000104	40.750000
1	40	 PgS	0.000021	8.250000
1	40	 S	0.018939	7395.500000
1	40	 SBb	0.023654	9236.750000
1	40	 SPe	0.010013	3910.000000
1	40	 SE	0.004353	1699.750000
1	40	 SPg	0.000164	64.000000
1	40	 SMe	0.000077	30.250000
