Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120		
1093	0	0	0	0	0	0	 E	RE25
1094	0	0	9.2	0	0	0	 EBb	RE25
1095	0	0	0	0	0	0	 EPe	RE25
1097	0	0	0	0	0	0	 EPg	RE25
1098	0	0	4	5.9	5	0	 ES	RE25
1102	0	0	0	0.4	0.1	0	 Pg	RE25
1103	0	0	1	1.1	3.8	0	 PgBb	RE25
1104	0	0	0	0.3	3.1	0	 PgPe	RE25
1105	0	0	0	0	0	0	 PgE	RE25
1111	0	0	0	0	0	0	 S	RE25
1112	0	0	6.8	4.6	4.6	0	 SBb	RE25
1113	0	0	0	0	0	0	 SPe	RE25
1114	0	0	0	0	0	0	 SE	RE25
1115	0	0	0	0	0	0	 SPg	RE25
1157	0	0	0.1	0.5	0	0	 Bb	RS20
1159	0	0.9	6.2	5.4	1.5	0	 BbPe	RS20
1160	0	0	0	0	0	0	 BbE	RS20
1161	0	0	0	0	0	0	 BbPg	RS20
1162	0	0	1.5	2.1	1.7	0	 BbS	RS20
1166	0	0	0	0	0	0	 Pe	RS20
1167	0	2.3	6	6	6	0	 PeBb	RS20
1169	0	0.7	0.8	1	2.1	0	 PeE	RS20
1170	0	1	1	1	1	0	 PePg	RS20
1171	0	0	0.4	0.4	0.4	0	 PeS	RS20
1175	0	0	0	0	0	0	 E	RS20
1176	0	0	11.5	0	4.5	0	 EBb	RS20
1177	0	1.6	5.5	3.5	7	0	 EPe	RS20
1179	0	0	0	0	0	0	 EPg	RS20
1180	0	0	0	0	0	0	 ES	RS20
1182	0	0	0	0	0	0	 EMe	RS20
1184	0	0	0	0	0	0	 Pg	RS20
1185	0	0.3	2	2.7	2.4	0	 PgBb	RS20
1186	0	0	0	0	0	0	 PgPe	RS20
1187	0	0	0	0	0	0	 PgE	RS20
1193	0	0	0	0	0	0	 S	RS20
1194	0	0	0	0	0	0	 SBb	RS20
1195	0	0	0	0	0	0	 SPe	RS20
1196	0	0	3.5	2.1	0	0	 SE	RS20
1239	0	0	0	0.3	0	0	 Bb	RS21
1241	0	0	0	0	5.4	0	 BbPe	RS21
1242	0	0	1.1	0	0	0	 BbE	RS21
1243	0	0	0	0.2	1.2	0	 BbPg	RS21
1244	0	0	2	2.3	2.3	0	 BbS	RS21
1248	0	0	0	0	0	0	 Pe	RS21
1249	0	0	0	0	0	0	 PeBb	RS21
1251	0	0.7	0.7	2.9	3	0	 PeE	RS21
1252	0	0.4	0.4	0.4	0.7	0	 PePg	RS21
1253	0	0.1	0.3	0.3	0.3	0	 PeS	RS21
1257	0	0	0	0	0	0	 E	RS21
1258	0	0	1.6	0	0	0	 EBb	RS21
1259	0	0	0	0	0	0	 EPe	RS21
1261	0	0	0.5	1	3	0	 EPg	RS21
1262	0	0	0	0	0	0	 ES	RS21
1266	0	0.5	0.5	0.5	0.5	0	 Pg	RS21
1267	0	0.2	0.2	0.8	4.6	0	 PgBb	RS21
