Run	Year	CategoryId	Category	Vol	Area
1	140	8	lStripCutReserve	0	0
1	145	0	lTotal	161803657.390016	390542.750000
1	145	1	lAvailable	43793086.770048	93830.250000
1	145	2	lMHA	49519295.002536	107628.000000
1	145	3	lProtected	18549412.702497	46673.750000
1	145	4	lDist	0	0
1	145	5	lAdjGreenup	631140.587500	58619.500000
1	145	6	lACReserve	0	0
1	145	7	lMosaicReserve	0	0
1	145	8	lStripCutReserve	0	0
1	150	0	lTotal	164072120.847380	390542.750000
1	150	1	lAvailable	44490706.990032	93830.250000
1	150	2	lMHA	50321432.675038	107628.000000
1	150	3	lProtected	18880889.357495	46673.750000
1	150	4	lDist	0	0
1	150	5	lAdjGreenup	631140.587500	58619.500000
1	150	6	lACReserve	0	0
1	150	7	lMosaicReserve	0	0
1	150	8	lStripCutReserve	0	0
1	155	0	lTotal	166357909.675028	390542.750000
1	155	1	lAvailable	45171643.327468	93830.250000
1	155	2	lMHA	51106578.367456	107628.000000
1	155	3	lProtected	19204212.184999	46673.750000
1	155	4	lDist	0	0
1	155	5	lAdjGreenup	631140.587500	58619.500000
1	155	6	lACReserve	0	0
1	155	7	lMosaicReserve	0	0
1	155	8	lStripCutReserve	0	0
1	160	0	lTotal	168262139.352200	390542.750000
1	160	1	lAvailable	45608119.049978	93830.250000
1	160	2	lMHA	51643118.357496	107628.000000
1	160	3	lProtected	19514832.787494	46673.750000
1	160	4	lDist	0	0
1	160	5	lAdjGreenup	625883.325000	58619.500000
1	160	6	lACReserve	0	0
1	160	7	lMosaicReserve	0	0
1	160	8	lStripCutReserve	0	0
1	165	0	lTotal	170277368.772672	390542.750000
1	165	1	lAvailable	46297773.247489	93830.250000
1	165	2	lMHA	52428919.312489	107628.000000
1	165	3	lProtected	19810657.842496	46673.750000
1	165	4	lDist	0	0
1	165	5	lAdjGreenup	625883.325000	58619.500000
1	165	6	lACReserve	0	0
1	165	7	lMosaicReserve	0	0
1	165	8	lStripCutReserve	0	0
1	170	0	lTotal	171799938.067608	390542.750000
1	170	1	lAvailable	46840245.584968	93830.250000
1	170	2	lMHA	53051511.777453	107628.000000
1	170	3	lProtected	20006377.122493	46673.750000
1	170	4	lDist	0	0
1	170	5	lAdjGreenup	622365.262500	58619.500000
1	170	6	lACReserve	0	0
1	170	7	lMosaicReserve	0	0
1	170	8	lStripCutReserve	0	0
1	175	0	lTotal	172720466.954885	390542.750000
1	175	1	lAvailable	47221478.099991	93830.250000
1	175	2	lMHA	53375427.127485	107628.000000
1	175	3	lProtected	19704674.000004	46673.750000
1	175	4	lDist	0	0
1	175	5	lAdjGreenup	622365.262500	58619.500000
1	175	6	lACReserve	0	0
1	175	7	lMosaicReserve	0	0
1	175	8	lStripCutReserve	0	0
1	180	0	lTotal	174823844.457218	390542.750000
1	180	1	lAvailable	47893566.879978	93830.250000
1	180	2	lMHA	54142593.014986	107628.000000
1	180	3	lProtected	20004629.425001	46673.750000
1	180	4	lDist	0	0
1	180	5	lAdjGreenup	622365.262500	58619.500000
1	180	6	lACReserve	0	0
1	180	7	lMosaicReserve	0	0
1	180	8	lStripCutReserve	0	0
1	185	0	lTotal	176324446.257716	390542.750000
1	185	1	lAvailable	48242150.039994	93830.250000
1	185	2	lMHA	54428234.267483	107628.000000
1	185	3	lProtected	20122584.409993	46673.750000
1	185	4	lDist	0	0
1	185	5	lAdjGreenup	622329.742500	58619.500000
1	185	6	lACReserve	0	0
1	185	7	lMosaicReserve	0	0
1	185	8	lStripCutReserve	0	0
1	190	0	lTotal	177128835.912817	390542.750000
1	190	1	lAvailable	48629071.070001	93830.250000
1	190	2	lMHA	54866306.952498	107628.000000
1	190	3	lProtected	20275161.024991	46673.750000
1	190	4	lDist	0	0
1	190	5	lAdjGreenup	622329.742500	58619.500000
1	190	6	lACReserve	0	0
1	190	7	lMosaicReserve	0	0
1	190	8	lStripCutReserve	0	0
1	195	0	lTotal	178807506.380189	390542.750000
1	195	1	lAvailable	49125050.689993	93830.250000
1	195	2	lMHA	55453957.622485	107628.000000
1	195	3	lProtected	20572624.224994	46673.750000
1	195	4	lDist	0	0
1	195	5	lAdjGreenup	622329.742500	58619.500000
1	195	6	lACReserve	0	0
1	195	7	lMosaicReserve	0	0
1	195	8	lStripCutReserve	0	0
1	200	0	lTotal	180586273.507295	390542.750000
1	200	1	lAvailable	49699662.672491	93830.250000
1	200	2	lMHA	56117014.390007	107628.000000
1	200	3	lProtected	20794745.152496	46673.750000
1	200	4	lDist	0	0
1	200	5	lAdjGreenup	622329.742500	58619.500000
1	200	6	lACReserve	0	0
1	200	7	lMosaicReserve	0	0
1	200	8	lStripCutReserve	0	0
1	205	0	lTotal	182089882.747835	390542.750000
1	205	1	lAvailable	50148584.767462	93830.250000
1	205	2	lMHA	56645580.684963	107628.000000
1	205	3	lProtected	21021212.719995	46673.750000
1	205	4	lDist	0	0
1	205	5	lAdjGreenup	622329.742500	58619.500000
1	205	6	lACReserve	0	0
1	205	7	lMosaicReserve	0	0
1	205	8	lStripCutReserve	0	0
1	210	0	lTotal	181205542.305084	390542.750000
1	210	1	lAvailable	49885021.352481	93830.250000
1	210	2	lMHA	56254297.139998	107628.000000
1	210	3	lProtected	20841671.132494	46673.750000
1	210	4	lDist	0	0
1	210	5	lAdjGreenup	608713.880000	58619.500000
1	210	6	lACReserve	0	0
1	210	7	lMosaicReserve	0	0
1	210	8	lStripCutReserve	0	0
1	215	0	lTotal	182209142.919900	390542.750000
1	215	1	lAvailable	50264614.170008	93830.250000
1	215	2	lMHA	56713250.004997	107628.000000
1	215	3	lProtected	21041758.272501	46673.750000
1	215	4	lDist	0	0
1	215	5	lAdjGreenup	608713.880000	58619.500000
1	215	6	lACReserve	0	0
1	215	7	lMosaicReserve	0	0
1	215	8	lStripCutReserve	0	0
1	220	0	lTotal	183411414.224858	390542.750000
1	220	1	lAvailable	50708744.234974	93830.250000
1	220	2	lMHA	57184148.939964	107628.000000
1	220	3	lProtected	21162106.932499	46673.750000
1	220	4	lDist	0	0
1	220	5	lAdjGreenup	608713.880000	58619.500000
1	220	6	lACReserve	0	0
1	220	7	lMosaicReserve	0	0
1	220	8	lStripCutReserve	0	0
1	225	0	lTotal	184756775.469814	390542.750000
1	225	1	lAvailable	51190570.234996	93830.250000
1	225	2	lMHA	57752927.112498	107628.000000
1	225	3	lProtected	21413114.704995	46673.750000
1	225	4	lDist	0	0
1	225	5	lAdjGreenup	608713.880000	58619.500000
1	225	6	lACReserve	0	0
1	225	7	lMosaicReserve	0	0
1	225	8	lStripCutReserve	0	0
1	230	0	lTotal	186294498.257650	390542.750000
1	230	1	lAvailable	51701460.757465	93830.250000
1	230	2	lMHA	58347882.214950	107628.000000
1	230	3	lProtected	21640775.999993	46673.750000
1	230	4	lDist	0	0
1	230	5	lAdjGreenup	608713.880000	58619.500000
1	230	6	lACReserve	0	0
1	230	7	lMosaicReserve	0	0
1	230	8	lStripCutReserve	0	0
1	235	0	lTotal	187438924.977146	390542.750000
1	235	1	lAvailable	52123642.822518	93830.250000
1	235	2	lMHA	58849746.485027	107628.000000
1	235	3	lProtected	21870397.747505	46673.750000
1	235	4	lDist	0	0
1	235	5	lAdjGreenup	608713.880000	58619.500000
1	235	6	lACReserve	0	0
1	235	7	lMosaicReserve	0	0
1	235	8	lStripCutReserve	0	0
1	240	0	lTotal	188906098.030034	390542.750000
1	240	1	lAvailable	52587346.627513	93830.250000
1	240	2	lMHA	59390511.762485	107628.000000
1	240	3	lProtected	22099450.827498	46673.750000
1	240	4	lDist	0	0
1	240	5	lAdjGreenup	608713.880000	58619.500000
1	240	6	lACReserve	0	0
1	240	7	lMosaicReserve	0	0
1	240	8	lStripCutReserve	0	0
1	245	0	lTotal	189251906.299944	390542.750000
1	245	1	lAvailable	52935824.305040	93830.250000
1	245	2	lMHA	59735306.505051	107628.000000
1	245	3	lProtected	22065626.087493	46673.750000
1	245	4	lDist	0	0
1	245	5	lAdjGreenup	608713.880000	58619.500000
1	245	6	lACReserve	0	0
1	245	7	lMosaicReserve	0	0
1	245	8	lStripCutReserve	0	0
1	250	0	lTotal	188825298.164914	390542.750000
1	250	1	lAvailable	52958454.557470	93830.250000
1	250	2	lMHA	59776370.064966	107628.000000
1	250	3	lProtected	22093774.362495	46673.750000
1	250	4	lDist	0	0
1	250	5	lAdjGreenup	608713.880000	58619.500000
1	250	6	lACReserve	0	0
1	250	7	lMosaicReserve	0	0
1	250	8	lStripCutReserve	0	0
1	255	0	lTotal	190018524.694812	390542.750000
1	255	1	lAvailable	53335138.084991	93830.250000
1	255	2	lMHA	60213077.744983	107628.000000
1	255	3	lProtected	22263224.882500	46673.750000
1	255	4	lDist	0	0
1	255	5	lAdjGreenup	608713.880000	58619.500000
1	255	6	lACReserve	0	0
1	255	7	lMosaicReserve	0	0
1	255	8	lStripCutReserve	0	0
1	260	0	lTotal	189404713.477527	390542.750000
1	260	1	lAvailable	52931353.379984	93830.250000
1	260	2	lMHA	59731533.899994	107628.000000
1	260	3	lProtected	22283722.984995	46673.750000
1	260	4	lDist	0	0
1	260	5	lAdjGreenup	608713.880000	58619.500000
1	260	6	lACReserve	0	0
1	260	7	lMosaicReserve	0	0
1	260	8	lStripCutReserve	0	0
1	265	0	lTotal	188733293.997674	390542.750000
1	265	1	lAvailable	52927474.695010	93830.250000
1	265	2	lMHA	59769168.512499	107628.000000
1	265	3	lProtected	22331367.702498	46673.750000
1	265	4	lDist	0	0
1	265	5	lAdjGreenup	608213.482500	58619.500000
1	265	6	lACReserve	0	0
1	265	7	lMosaicReserve	0	0
1	265	8	lStripCutReserve	0	0
1	270	0	lTotal	189662169.279883	390542.750000
1	270	1	lAvailable	53255230.184975	93830.250000
1	270	2	lMHA	60157292.404961	107628.000000
1	270	3	lProtected	22532799.464996	46673.750000
1	270	4	lDist	0	0
1	270	5	lAdjGreenup	608213.482500	58619.500000
1	270	6	lACReserve	0	0
1	270	7	lMosaicReserve	0	0
1	270	8	lStripCutReserve	0	0
1	275	0	lTotal	189921741.522434	390542.750000
1	275	1	lAvailable	53085166.697500	93830.250000
1	275	2	lMHA	60038496.369987	107628.000000
1	275	3	lProtected	22721964.377498	46673.750000
1	275	4	lDist	0	0
1	275	5	lAdjGreenup	603496.667500	58619.500000
1	275	6	lACReserve	0	0
1	275	7	lMosaicReserve	0	0
1	275	8	lStripCutReserve	0	0
1	280	0	lTotal	190802334.932524	390542.750000
1	280	1	lAvailable	53321324.552510	93830.250000
1	280	2	lMHA	60333670.810007	107628.000000
1	280	3	lProtected	22912678.537494	46673.750000
1	280	4	lDist	0	0
1	280	5	lAdjGreenup	603496.667500	58619.500000
1	280	6	lACReserve	0	0
1	280	7	lMosaicReserve	0	0
1	280	8	lStripCutReserve	0	0
1	285	0	lTotal	191092324.770055	390542.750000
1	285	1	lAvailable	53357816.117510	93830.250000
1	285	2	lMHA	60378025.747522	107628.000000
1	285	3	lProtected	23046435.537496	46673.750000
1	285	4	lDist	0	0
1	285	5	lAdjGreenup	603496.667500	58619.500000
1	285	6	lACReserve	0	0
1	285	7	lMosaicReserve	0	0
1	285	8	lStripCutReserve	0	0
1	290	0	lTotal	191482667.377517	390542.750000
1	290	1	lAvailable	53311033.362504	93830.250000
1	290	2	lMHA	60371967.057483	107628.000000
1	290	3	lProtected	23167492.867495	46673.750000
1	290	4	lDist	0	0
1	290	5	lAdjGreenup	602728.407500	58619.500000
1	290	6	lACReserve	0	0
1	290	7	lMosaicReserve	0	0
1	290	8	lStripCutReserve	0	0
1	295	0	lTotal	192441589.460090	390542.750000
1	295	1	lAvailable	53570769.887495	93830.250000
1	295	2	lMHA	60690127.724982	107628.000000
1	295	3	lProtected	23336877.247496	46673.750000
1	295	4	lDist	0	0
1	295	5	lAdjGreenup	602363.047500	58619.500000
1	295	6	lACReserve	0	0
1	295	7	lMosaicReserve	0	0
1	295	8	lStripCutReserve	0	0
