Run	Year	FireSize	EcoRegion
1	120	166.750000	1
1	120	109.500000	1
1	125	263.250000	1
1	125	421.500000	1
1	130	140.500000	2
1	130	109.000000	1
1	130	168.750000	2
1	130	90.750000	2
1	130	93.750000	2
1	135	472.500000	2
1	135	321.000000	1
1	135	146.000000	1
1	135	519.000000	2
1	135	223.500000	1
1	135	148.500000	1
1	135	346.250000	2
1	135	111.250000	2
1	135	357.750000	2
1	135	197.750000	2
1	135	287.500000	1
1	135	344.250000	2
1	135	153.750000	2
1	135	249.000000	1
1	140	86.500000	1
1	140	105.500000	1
1	140	181.250000	1
1	140	276.250000	1
1	140	142.000000	2
1	140	75.750000	1
1	140	414.000000	2
1	145	457.000000	1
1	145	131.750000	1
1	145	167.250000	1
1	145	69.000000	2
1	150	157.750000	1
1	150	285.500000	2
1	155	438.250000	1
1	155	289.500000	1
1	160	134.500000	1
1	160	180.750000	2
1	165	85.750000	1
1	165	205.250000	2
1	165	377.500000	1
1	165	338.000000	2
1	165	65.750000	1
1	165	296.250000	1
1	170	443.000000	1
1	170	213.750000	2
1	170	54.000000	2
1	170	1076.000000	1
1	170	708.750000	2
1	170	185.500000	1
1	180	775.000000	1
1	180	136.750000	1
1	180	108.250000	1
1	185	255.250000	1
1	185	93.750000	2
1	185	116.500000	2
1	185	102.000000	2
1	185	555.750000	2
1	185	219.250000	1
1	185	196.750000	1
1	185	227.000000	1
1	185	327.500000	2
1	185	452.750000	2
1	190	273.750000	1
1	190	362.500000	2
1	190	131.750000	2
1	195	224.500000	2
1	195	79.750000	2
1	200	88.500000	1
1	200	855.250000	1
1	200	174.500000	1
1	200	79.500000	1
1	200	198.250000	1
1	205	122.000000	1
1	205	229.250000	1
1	205	179.000000	1
1	205	333.250000	1
1	205	586.250000	1
1	205	175.500000	1
1	205	171.250000	2
1	205	116.000000	1
1	205	165.750000	2
1	205	69.250000	1
1	205	104.250000	1
1	205	192.500000	1
1	205	237.750000	1
1	205	519.000000	1
1	205	240.500000	1
1	205	73.500000	1
1	205	311.500000	2
1	205	714.250000	1
1	210	69.250000	1
1	210	137.750000	2
1	210	66.500000	2
1	210	499.000000	2
1	210	162.250000	2
1	210	195.500000	1
1	210	316.000000	1
1	210	120.500000	2
1	215	195.250000	2
1	215	197.250000	2
1	215	59.000000	1
1	215	148.000000	2
1	215	182.750000	2
1	215	146.000000	2
1	215	101.500000	1
1	220	220.250000	1
1	220	87.000000	1
1	220	88.500000	2
1	220	109.500000	2
1	220	166.000000	1
1	225	120.750000	2
1	225	81.750000	1
1	225	99.250000	2
1	230	188.250000	1
1	230	194.000000	1
1	230	91.000000	2
1	230	286.500000	2
1	235	93.750000	2
1	235	568.500000	2
1	240	69.250000	1
1	240	263.000000	2
1	240	59.750000	1
1	240	95.500000	2
1	240	315.500000	1
1	240	85.250000	1
1	240	296.750000	1
1	240	175.500000	2
1	240	74.250000	2
1	240	214.750000	2
1	240	366.500000	1
1	240	134.000000	2
1	245	54.500000	2
1	245	351.750000	2
1	245	438.000000	1
1	245	312.000000	2
1	245	85.750000	2
1	245	408.250000	2
1	245	108.250000	1
1	245	548.250000	2
1	245	61.750000	2
1	245	93.000000	2
1	245	110.250000	1
1	245	181.500000	1
1	245	52.750000	1
1	245	305.500000	2
1	245	416.000000	2
1	245	114.000000	2
1	250	200.500000	2
1	255	124.250000	2
1	255	464.750000	1
1	255	86.500000	2
1	255	1454.750000	1
1	255	65.500000	1
1	255	583.500000	2
1	255	213.750000	1
1	255	423.000000	1
1	260	77.500000	1
1	260	157.500000	1
1	260	143.250000	1
1	260	75.000000	1
1	260	137.250000	2
1	260	86.000000	2
1	260	226.500000	1
1	260	704.000000	2
1	260	101.000000	1
1	260	194.000000	1
1	260	160.000000	2
1	260	220.750000	1
1	260	345.250000	1
1	260	161.000000	1
1	260	365.000000	1
1	260	420.000000	2
1	260	147.750000	1
1	265	320.250000	2
1	265	245.500000	2
1	265	275.000000	2
1	270	76.000000	1
1	270	389.250000	1
1	270	86.500000	1
1	270	571.500000	1
1	270	577.750000	1
1	270	57.250000	1
1	275	79.000000	2
1	275	99.750000	1
1	275	304.750000	1
1	275	73.250000	1
1	275	84.500000	1
1	280	191.500000	1
1	280	164.500000	2
1	280	539.000000	1
1	280	181.750000	1
1	280	250.750000	1
1	280	198.000000	2
1	280	140.750000	1
1	280	118.250000	2
1	280	339.000000	2
1	285	116.250000	1
1	285	270.750000	2
1	285	245.750000	1
1	285	144.500000	1
1	285	68.000000	2
1	285	456.500000	1
1	285	195.000000	2
1	285	73.250000	1
1	285	182.250000	2
1	290	65.250000	2
1	290	110.000000	1
1	290	220.500000	1
1	295	559.500000	2
1	295	356.500000	2
1	295	171.500000	1
1	295	118.000000	1
1	295	681.750000	2
1	295	174.750000	2
1	295	130.250000	2
1	295	201.500000	1
1	295	292.500000	2
1	295	165.750000	2
1	295	827.000000	2
1	295	102.750000	2
1	295	407.750000	2
1	295	371.250000	1
1	295	276.500000	2
1	295	299.000000	1
1	295	252.250000	2
1	295	206.750000	1
1	295	659.250000	2
