Run	LandUnit	BlockClass	BlockSizeMid	NumBlocks	Area	pNumBlocks	pArea
1	0	168	8425	0	0	0	0
1	0	169	8475	0	0	0	0
1	0	170	8525	0	0	0	0
1	0	171	8575	0	0	0	0
1	0	172	8625	0	0	0	0
1	0	173	8675	0	0	0	0
1	0	174	8725	0	0	0	0
1	0	175	8775	0	0	0	0
1	0	176	8825	0	0	0	0
1	0	177	8875	0	0	0	0
1	0	178	8925	0	0	0	0
1	0	179	8975	0	0	0	0
1	0	180	9025	0	0	0	0
1	0	181	9075	0	0	0	0
1	0	182	9125	0	0	0	0
1	0	183	9175	0	0	0	0
1	0	184	9225	0	0	0	0
1	0	185	9275	0	0	0	0
1	0	186	9325	0	0	0	0
1	0	187	9375	0	0	0	0
1	0	188	9425	0	0	0	0
1	0	189	9475	0	0	0	0
1	0	190	9525	0	0	0	0
1	0	191	9575	0	0	0	0
1	0	192	9625	0	0	0	0
1	0	193	9675	0	0	0	0
1	0	194	9725	0	0	0	0
1	0	195	9775	0	0	0	0
1	0	196	9825	0	0	0	0
1	0	197	9875	0	0	0	0
1	0	198	9925	0	0	0	0
1	0	199	9975	0	0	0	0
