Run	Year	SEGroup	Species	pSpp	Area
1	30	18	 Pe	0.005948	33.500000
1	30	19	 PeBb	0.101775	573.250000
1	30	9	 Bb	0.121928	1098.750000
1	30	11	 BbPe	0.240887	2170.750000
1	30	12	 BbE	0.000805	7.250000
1	30	14	 BbS	0.419880	3783.750000
1	30	18	 Pe	0.006020	54.250000
1	30	19	 PeBb	0.101648	916.000000
1	30	9	 Bb	0.175600	12795.750000
1	30	11	 BbPe	0.168814	12301.250000
1	30	12	 BbE	0.005318	387.500000
1	30	13	 BbPg	0.000196	14.250000
1	30	14	 BbS	0.163904	11943.500000
1	30	18	 Pe	0.017586	1281.500000
1	30	19	 PeBb	0.133490	9727.250000
1	30	9	 Bb	0.084242	413.500000
