Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120	Species	LandUnit	IndexTranslate		
1103	0	1	1.1	8.3	3.8	3.4	37	13	0	 PgBb	RE25
1104	0	0	0.3	3.1	3.2	1.8	38	13	0	 PgPe	RE25
1105	93	48.1	1.2	0.4	0.4	0	39	13	0	 PgE	RE25
1111	5.8	3.2	0	0	0	0	45	13	0	 S	RE25
1112	0	6.8	12	4.6	4.6	0	46	13	0	 SBb	RE25
1113	0	0.6	1.3	1.3	2.9	5.5	47	13	0	 SPe	RE25
1114	0	0.3	0.3	0.3	0.5	1.8	48	13	0	 SE	RE25
1115	0	0	0	0	0	0	49	13	1111	 SPg	RE25
1157	0	0.1	0.5	0.7	0	0	9	14	0	 Bb	RS20
1159	0.9	6.2	6.5	7	1.5	1.5	11	14	0	 BbPe	RS20
1160	0	2	5.5	5.5	5.5	11.3	12	14	0	 BbE	RS20
1161	0	0	0	0	0	0	13	14	1185	 BbPg	RS20
1162	0	1.5	2.8	2.1	1.7	0	14	14	0	 BbS	RS20
1166	0	0	0	1	1	0	18	14	0	 Pe	RS20
1167	2.3	6	6	6	6	1.6	19	14	0	 PeBb	RS20
1169	0.7	0.8	1	2.1	4	0	21	14	0	 PeE	RS20
1170	1	1	1	1	4	0	22	14	0	 PePg	RS20
1171	0	0.4	0.4	0.4	1	0	23	14	0	 PeS	RS20
1175	0	2	7.5	8	8	31	27	14	0	 E	RS20
1176	0	11.5	12.5	14	11.7	2.6	28	14	0	 EBb	RS20
1177	1.6	5.5	6	8.9	7	4	29	14	0	 EPe	RS20
1179	0	0.3	1	1.6	1.6	2.8	31	14	0	 EPg	RS20
1180	0	20	20	20	20	35	32	14	0	 ES	RS20
1182	0	0	0	0	0	0	34	14	1175	 EMe	RS20
1184	3	0.7	0.6	0.6	0.4	0	36	14	0	 Pg	RS20
1185	0.3	2	2.7	2.7	13	2.6	37	14	0	 PgBb	RS20
1186	7.7	7.7	7.7	7.7	6	0	38	14	0	 PgPe	RS20
1187	77	8.7	3	2	2	2	39	14	0	 PgE	RS20
1193	5.5	0.5	0	0	0	0	45	14	0	 S	RS20
1194	0	8.6	6	5.6	4.6	4.6	46	14	0	 SBb	RS20
1195	0	11	4	1	1	1	47	14	0	 SPe	RS20
1196	0	3.5	5.3	2.1	0	0	48	14	0	 SE	RS20
1239	0	0	0.3	0.5	0	0	9	15	0	 Bb	RS21
1241	0.3	6.5	6.5	7	10	6.1	11	15	0	 BbPe	RS21
1242	0	1.1	9.6	8	5	3	12	15	0	 BbE	RS21
1243	0	0	0.2	1.2	1.2	0	13	15	0	 BbPg	RS21
1244	0	2	5.7	2.3	2.3	0	14	15	0	 BbS	RS21
1248	0	0	0	0.2	0	0	18	15	0	 Pe	RS21
1249	1.4	7.2	8.4	12.8	8.4	6.2	19	15	0	 PeBb	RS21
1251	0.7	0.7	4.2	4	3	2.7	21	15	0	 PeE	RS21
1252	0.4	0.4	0.4	1	0.7	0.7	22	15	0	 PePg	RS21
1253	0.1	0.3	0.3	0.3	0.6	0	23	15	0	 PeS	RS21
1257	0	2.4	14	14	17	41.5	27	15	0	 E	RS21
1258	0	7	14.2	14	12.8	10.5	28	15	0	 EBb	RS21
1259	5	5	5	5	5	13.1	29	15	0	 EPe	RS21
1261	0	0.5	1	3	3	0.4	31	15	0	 EPg	RS21
1262	0	16	13.2	6.5	6.5	4.6	32	15	0	 ES	RS21
1266	2.7	0.5	0.5	0.5	0.5	0	36	15	0	 Pg	RS21
1267	0.2	0.2	0.8	4.6	6.9	1.9	37	15	0	 PgBb	RS21
1268	1.2	1.6	2	4	6.9	3.1	38	15	0	 PgPe	RS21
1269	81.8	32.3	1.6	1.6	1.6	1.6	39	15	0	 PgE	RS21
1275	5.5	1.7	0	0	0	0	45	15	0	 S	RS21
1276	0	8.5	7.3	6.5	5.6	1.6	46	15	0	 SBb	RS21
1277	0	4.2	4.2	2.7	2.7	2.7	47	15	0	 SPe	RS21
1278	0.7	1.9	0.6	0.3	0.3	0.3	48	15	0	 SE	RS21
1321	0	0	0	0	0	0	9	16	1324	 Bb	RS22
