Run	Year	CategoryId	Category	NetArea	TotalArea
1	165	8	lStripCutReserve	0	0
1	170	1	lAvailable	0	0
1	170	2	lMHA	0	0
1	170	3	lProtected	0	0
1	170	4	lDist	0	0
1	170	5	lAdjGreenup	0	0
1	170	6	lACReserve	0	0
1	170	7	lMosaicReserve	0	0
1	170	8	lStripCutReserve	0	0
1	175	1	lAvailable	0	0
1	175	2	lMHA	0	0
1	175	3	lProtected	0	0
1	175	4	lDist	0	0
1	175	5	lAdjGreenup	0	0
1	175	6	lACReserve	0	0
1	175	7	lMosaicReserve	0	0
1	175	8	lStripCutReserve	0	0
1	180	1	lAvailable	0	0
1	180	2	lMHA	0	0
1	180	3	lProtected	0	0
1	180	4	lDist	0	0
1	180	5	lAdjGreenup	0	0
1	180	6	lACReserve	0	0
1	180	7	lMosaicReserve	0	0
1	180	8	lStripCutReserve	0	0
