DensityID	probA	probB	probC	probD
42211	0.00293	0.15911	0.54191	0.29604
42201	0.0045	0.21083	0.51246	0.27221
42231	0.25	0.25	0.25	0.25
52211	0.00106	0.1528	0.54096	0.30517
52201	0.00164	0.20322	0.51348	0.28165
52231	0.00041	0.1213	0.56659	0.3117
211	0.04962	0.32294	0.45163	0.17581
201	0.06975	0.39154	0.39079	0.14792
231	0.02071	0.27619	0.50963	0.19347
10211	0.03311	0.40744	0.42805	0.13139
10201	0.04555	0.48361	0.36261	0.10822
10231	0.01396	0.35202	0.48796	0.14606
20211	0.0379	0.49115	0.37138	0.09956
20201	0.05055	0.56503	0.30493	0.07949
20231	0.25	0.25	0.25	0.25
30211	0.04282	0.46859	0.38555	0.10304
30201	0.05739	0.54178	0.31815	0.08268
30231	0.25	0.25	0.25	0.25
40211	0.25	0.25	0.25	0.25
40201	0.06189	0.54764	0.32517	0.0653
40231	0.25	0.25	0.25	0.25
50211	0.01766	0.47937	0.41456	0.08841
50201	0.02389	0.55931	0.34521	0.07158
50231	0.25	0.25	0.25	0.25
