Run	Year	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	areaBurned
1	80	0	1382.250000	22190.750000	53037.000000	63154.000000	83331.750000	79811.250000	60786.500000	18296.500000	6966.000000	1538.500000	0	0	0	0	0	90898.000000
1	85	0	970.500000	18604.000000	48490.500000	61793.000000	81048.500000	81706.000000	66934.750000	21752.750000	6091.500000	3103.000000	0	0	0	0	0	157034.750000
1	90	0	250.750000	11617.250000	42480.750000	59841.750000	76128.500000	84577.000000	71272.750000	31514.500000	8421.250000	4390.000000	0	0	0	0	0	28974.250000
1	95	0	124.750000	7732.250000	36492.500000	58426.000000	70394.500000	84469.500000	74632.500000	41263.000000	11322.250000	5637.250000	0	0	0	0	0	104104.000000
1	100	0	81.750000	5815.750000	31983.000000	55338.500000	64818.500000	83177.750000	76774.750000	50917.250000	14816.750000	5914.000000	856.500000	0	0	0	0	125834.500000
1	105	0	51.000000	4362.500000	27950.000000	52743.500000	63390.750000	81277.750000	78418.500000	57709.500000	17033.750000	5432.250000	2125.000000	0	0	0	0	183111.500000
1	110	0	27.500000	3063.500000	23750.250000	48828.750000	58745.000000	79406.500000	79485.250000	62709.500000	24083.250000	6825.750000	3569.250000	0	0	0	0	103123.250000
1	115	0	12.000000	1931.250000	19571.250000	46150.250000	55740.250000	73804.250000	79596.750000	66197.500000	33485.750000	9401.250000	4604.000000	0	0	0	0	114713.500000
1	120	0	6.250000	1335.750000	16020.750000	43151.750000	52055.500000	68496.750000	79232.500000	68848.250000	43045.750000	12602.000000	4999.750000	699.500000	0	0	0	104670.250000
1	125	0	1.250000	568.250000	11252.750000	38013.750000	49125.000000	65010.750000	79419.750000	71529.000000	53029.000000	15778.250000	4773.750000	1993.000000	0	0	0	30618.000000
1	130	0	0	332.500000	8271.750000	33502.750000	47585.000000	60367.500000	77919.500000	73148.000000	57474.000000	22467.000000	6121.250000	3305.250000	0	0	0	97659.000000
1	135	0	0	203.750000	6227.250000	30106.750000	45679.500000	56708.250000	73963.750000	74843.000000	61172.500000	29333.250000	8041.500000	4215.000000	0	0	0	144165.750000
1	140	0	0	53.000000	3267.500000	22931.000000	44652.500000	51933.000000	70001.000000	76280.250000	65676.250000	39232.750000	11344.500000	4453.750000	669.000000	0	0	0
1	145	0	0	35.500000	2232.000000	18005.250000	43383.250000	48775.750000	67543.750000	76810.500000	66862.250000	47236.500000	13814.250000	4143.250000	1652.250000	0	0	126060.250000
1	150	0	0	20.750000	1428.500000	13268.500000	39222.500000	47010.500000	63647.000000	77017.250000	70211.000000	52651.500000	18271.750000	4917.500000	2827.750000	0	0	74028.250000
1	155	0	0	11.000000	989.250000	10753.000000	35748.000000	46356.000000	60650.750000	74566.500000	72014.750000	55162.750000	23930.000000	6536.000000	3776.500000	0	0	171669.500000
1	160	0	0	1.750000	414.750000	6817.000000	29840.500000	45266.250000	55460.250000	71834.500000	74067.250000	60784.000000	32177.750000	9167.250000	4086.250000	577.000000	0	8682.500000
1	165	0	0	1.500000	315.500000	5533.250000	26465.500000	43856.000000	52255.000000	70434.500000	73413.750000	63805.750000	38156.750000	11059.000000	3726.750000	1471.250000	0	175773.000000
1	170	0	0	0	114.500000	3111.750000	19896.000000	41928.000000	48368.750000	67011.750000	74652.000000	67452.000000	45486.250000	15479.000000	4427.000000	2567.500000	0	0
1	175	0	0	0	77.500000	2483.500000	17260.000000	39768.750000	45676.250000	63037.250000	74376.500000	68490.000000	49757.750000	20547.500000	5841.750000	3177.750000	0	164175.000000
1	180	0	0	0	20.000000	1250.000000	12066.250000	36189.500000	44644.750000	58442.250000	73053.500000	70905.250000	54515.250000	27617.000000	7634.250000	3768.500000	388.000000	41394.250000
