Run	Year	Zone	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmPerM3Hauled	areaBurned
1	90	rPA	0	33.750000	1652.250000	3560.750000	4058.250000	7051.750000	11370.250000	11747.250000	4842.750000	1495.250000	861.500000	0	0	0	0	0	0	0	0	0	0	0	0	0
1	95	rSQ	0	47.500000	6705.000000	29521.500000	42318.500000	59202.000000	57971.000000	56715.250000	33409.500000	8315.750000	3518.250000	0	0	0	0	0	0	0	0	0	0	0	0	107037.500000
1	95	rIM	0	0	1.000000	316.750000	4764.500000	9329.500000	9040.250000	13342.750000	7923.500000	758.000000	620.250000	0	0	0	0	0	0	0	0	0	0	0	0	455.250000
1	95	rPA	0	23.000000	1276.250000	3413.500000	3724.250000	6133.750000	10283.000000	12353.250000	6458.000000	1765.500000	1243.250000	0	0	0	0	0	0	0	0	0	0	0	0	10188.000000
1	100	rSQ	0	31.500000	4502.500000	27018.750000	39218.500000	58054.500000	56395.000000	58771.750000	38975.750000	10508.500000	3742.000000	505.500000	0	0	0	0	0	0	0	0	0	0	0	114717.500000
1	100	rIM	0	0	0.750000	215.750000	3690.750000	9507.500000	8651.250000	13143.750000	9103.250000	1141.500000	337.500000	304.500000	0	0	0	0	0	0	0	0	0	0	0	22988.000000
1	100	rPA	0	16.500000	1002.000000	3164.250000	3572.000000	5444.750000	9185.500000	12456.000000	8206.250000	2125.750000	1332.250000	168.500000	0	0	0	0	0	0	0	0	0	0	0	12838.500000
1	105	rSQ	0	5.000000	2198.250000	22535.000000	34728.750000	57999.250000	58061.750000	58555.500000	44820.750000	13749.250000	3800.500000	1270.250000	0	0	0	0	0	0	0	0	0	0	0	56748.500000
1	105	rIM	0	0	0	74.500000	1988.000000	9601.500000	8429.750000	12099.000000	11395.750000	1818.500000	286.000000	403.500000	0	0	0	0	0	0	0	0	0	0	0	411.250000
1	105	rPA	0	10.250000	722.250000	2822.250000	3466.250000	4857.000000	8417.250000	12564.500000	9522.000000	2616.250000	1245.500000	430.250000	0	0	0	0	0	0	0	0	0	0	0	11970.250000
